;Source;Target;Common Genes
0;3-methylglutaconicaciduria;Optic atrophy;1
1;Aarskog-Scott syndrome;Mental retardation;1
2;ABCD syndrome;Hirschsprung disease;1
3;ABCD syndrome;Waardenburg-Shah syndrome;1
4;Abetalipoproteinemia;Hypercholesterolemia;1
5;Abetalipoproteinemia;Hypobetalipoproteinemia;1
6;Achondrogenesis-hypochondrogenesis, type II;Kniest dysplasia;1
7;Achondrogenesis-hypochondrogenesis, type II;Osteoarthritis;1
8;Achondrogenesis-hypochondrogenesis, type II;SMED Strudwick type;1
9;Achondrogenesis-hypochondrogenesis, type II;Stickler syndrome;1
10;Achondrogenesis-hypochondrogenesis, type II;Wagner syndrome;1
11;Achondrogenesis Ib;Atelosteogenesis;1
12;Achondrogenesis Ib;Diastrophic dysplasia;1
13;Achondrogenesis Ib;Epiphyseal dysplasia;1
14;Achondroplasia;Bladder cancer;1
15;Achondroplasia;Cervical carcinoma;1
16;Achondroplasia;Colon cancer;1
17;Achondroplasia;Crouzon syndrome;1
18;Achondroplasia;Hypochondroplasia;1
19;Achondroplasia;Muenke syndrome;1
20;Achondroplasia;Thanatophoric dysplasia, types I and II;1
21;Achromatopsia;Macular degeneration;1
22;Acquired long QT syndrome;Long QT syndrome;1
23;Acromegaly;McCune-Albright syndrome;1
24;Acromegaly;Osseous heteroplasia;1
25;Acromegaly;Pituitary ACTH-secreting adenoma;1
26;Acromegaly;Pseudohypoparathyroidism;1
27;Acromegaly;Somatotrophinoma;1
28;Adenocarcinoma;Colon cancer;1
29;Adenocarcinoma;Melanoma;1
30;Adenocarcinoma;Nonsmall cell lung cancer;2
31;Adenocarcinoma;Gastric cancer;1
32;Adenocarcinoma;Glioblastoma;1
33;Adenocarcinoma;Ovarian cancer;1
34;Adenocarcinoma;Leprosy;1
35;Adenocarcinoma;Parkinson disease;1
36;Adenoma, periampullary;Adenomas;1
37;Adenoma, periampullary;Colon cancer;1
38;Adenoma, periampullary;Desmoid disease, hereditary;1
39;Adenoma, periampullary;Gardner syndrome;1
40;Adenoma, periampullary;Gastric cancer;1
41;Adenoma, periampullary;Turcot syndrome;1
42;Adenomas;Adenoma, periampullary;1
43;Adenomas;Colon cancer;2
44;Adenomas;Desmoid disease, hereditary;1
45;Adenomas;Gardner syndrome;1
46;Adenomas;Gastric cancer;2
47;Adenomas;Turcot syndrome;1
48;Adenosine deaminase deficiency;Severe combined immunodeciency;1
49;Adrenocortical carcinoma;Carney complex;1
50;Adrenocortical carcinoma;Myxoma, intracardiac;1
51;Adrenocortical carcinoma;Pigmented adrenocortical disease, primary isolated;1
52;Adrenocortical carcinoma;Thyroid carcinoma;1
