;Gene;Size
0;OPA3;2
1;FGD1;2
2;EDNRB;3
3;APOB;3
4;MTP;1
5;COL2A1;6
6;SLC26A2;4
7;FGFR3;8
8;CNGA3;1
9;GNAT2;1
10;CNGB3;2
11;KCNH2;2
12;GNAS;6
13;SSTR5;1
14;BRAF;4
15;EGFR;2
16;ERBB2;4
17;PARK2;3
18;APC;7
19;MUTYH;3
20;PLAG1;1
21;ADA;2
22;PRKAR1A;5
23;GCNT2;2
24;FGA;3
25;FGB;3
26;JAG1;3
27;OCA2;1
28;TYR;2
29;TYRP1;1
30;HTR2A;5
31;GFAP;1
32;NDUFV1;3
33;IL13;2
34;ATP1A2;2
35;A2M;1
36;APBB2;1
37;APOE;4
38;APP;3
39;BLMH;1
40;ACE;6
41;MPO;2
42;NOS3;4
43;PLAU;1
44;PSEN1;3
45;PSEN2;1
46;PAXIP1;1
47;TTR;4
48;APOA1;5
49;GSN;1
50;LYZ;1
51;DCTN1;2
52;NEFH;1
53;PRPH;1
54;SOD1;1
55;VAPB;2
56;ALS2;3
57;AR;5
58;ABCB7;1
59;ALAS2;1
60;SLC11A2;1
61;PKLR;1
62;RHAG;2
63;RPS19;1
64;SPTB;3
65;NT5C3;1
66;CDAN1;1
67;MECP2;5
68;UBE3A;1
69;MEN1;8
70;PAX6;10
71;EYA1;2
72;FOXC1;5
73;FOXE3;1
74;PITX3;2
75;SLC6A4;2
76;FBN1;6
77;FGFR2;9
78;APOA2;2
79;APOC3;1
80;APOH;1
81;HSD11B2;2
82;AQP1;2
83;DSP;5
84;PKP2;1
85;RYR2;2
86;WISP3;2
87;NLGN3;2
88;NLGN4X;3
89;ADRB2;3
90;ALOX5;2
91;MS4A2;1
92;HNMT;1
93;IL12B;1
94;PTGDR;1
95;TNF;5
96;SCGB1A1;1
97;PLA2G7;3
98;PHF11;2
99;SCGB3A2;1
100;GPR154;1
101;CACNB4;2
102;TTPA;1
103;ALS4;1
104;APTX;1
105;ATCAY;1
106;ATM;4
107;MRE11A;1
108;FLNB;3
109;IL4R;1
110;SELP;1
111;SPINK5;2
112;HAVCR1;1
113;NKX2-5;3
114;GATA4;1
115;KCNQ1;3
116;MYH6;2
117;KCNE2;2
118;GJA1;4
119;CRELD1;1
120;GLO1;1
121;AIRE;1
122;FAS;2
123;CASP8;2
124;CASP10;3
125;PTEN;9
126;CIITA;3
127;RFX5;1
128;RFXAP;1
129;TAP2;2
130;TAPBP;1
131;TAZ;3
132;GJB2;6
133;PTCH;3
134;RASA1;3
135;SMO;1
136;PTCH2;2
137;DMD;3
138;MYF6;2
139;NQO1;2
140;FLCN;4
141;HRAS;3
142;KRAS;6
143;RB1;2
144;ABO;1
145;ACHE;1
146;AQP3;1
147;DO;1
148;BSG;1
149;CD44;1
150;CR1;1
151;DAF;1
152;FUT3;1
153;GYPA;1
154;GYPB;1
155;GYPC;2
156;ICAM4;1
157;KEL;1
158;LU;1
159;RHCE;2
160;SLC4A1;5
161;SLC14A1;1
162;XG;1
163;B3GALT3;1
164;A4GALT;1
165;LRP5;7
166;RLBP1;4
167;BARD1;1
