;Souce;Target;Common Diseases
0;OPA3;OPA1;1
1;FGD1;MECP2;1
2;FGD1;NLGN4X;1
3;FGD1;RPS6KA3;1
4;FGD1;ARX;1
5;FGD1;SOX3;1
6;FGD1;AGTR2;1
7;FGD1;DLG3;1
8;FGD1;ACSL4;1
9;FGD1;AFF2;1
10;FGD1;GDI1;1
11;FGD1;OPHN1;1
12;FGD1;PAK3;1
13;FGD1;SLC6A8;1
14;FGD1;SMS;1
15;FGD1;TSPAN7;1
16;FGD1;ZNF41;1
17;FGD1;SMCX;1
18;FGD1;PRSS12;1
19;FGD1;ARHGEF6;1
20;FGD1;IL1RAPL1;1
21;FGD1;FTSJ1;1
22;FGD1;CRBN;1
23;FGD1;ZNF81;1
24;EDNRB;EDN3;1
25;EDNRB;GDNF;1
26;EDNRB;RET;1
27;EDNRB;PHOX2B;1
28;EDNRB;ECE1;1
29;EDNRB;NRTN;1
30;EDNRB;SOX10;1
31;APOB;MTP;1
32;APOB;APOA2;1
33;APOB;EPHX2;1
34;APOB;ITIH4;1
35;APOB;LDLR;1
36;APOB;C7orf16;1
37;APOB;LDLRAP1;1
38;APOB;PCSK9;1
39;MTP;APOB;1
40;COL2A1;COL11A2;1
41;COL2A1;MATN3;1
42;COL2A1;COL11A1;1
43;COL2A1;FRZB;1
44;COL2A1;ASPN;1
45;SLC26A2;FLNB;1
46;SLC26A2;COL9A1;1
47;SLC26A2;COL9A2;1
48;SLC26A2;COL9A3;1
49;SLC26A2;COMP;1
50;SLC26A2;MATN3;1
51;FGFR3;BRAF;1
52;FGFR3;APC;1
53;FGFR3;MUTYH;1
54;FGFR3;FGFR2;1
55;FGFR3;FLCN;1
56;FGFR3;HRAS;1
57;FGFR3;KRAS;1
58;FGFR3;RB1;1
59;FGFR3;PIK3CA;1
60;FGFR3;TP53;1
61;FGFR3;RAD54L;1
62;FGFR3;MLH1;1
63;FGFR3;MSH2;1
64;FGFR3;MSH6;1
65;FGFR3;BAX;1
66;FGFR3;CCND1;1
67;FGFR3;BUB1;1
68;FGFR3;BUB1B;1
69;FGFR3;CTNNB1;1
70;FGFR3;DCC;1
71;FGFR3;EP300;1
72;FGFR3;MCC;1
73;FGFR3;NRAS;1
74;FGFR3;ODC1;1
75;FGFR3;PDGFRL;1
76;FGFR3;PLA2G2A;1
77;FGFR3;PMS1;1
78;FGFR3;PMS2;1
79;FGFR3;PTPN12;1
80;FGFR3;PTPRJ;1
81;FGFR3;SRC;1
82;FGFR3;TGFBR2;1
83;FGFR3;AXIN2;1
84;FGFR3;BCL10;1
85;FGFR3;DLC1;1
86;FGFR3;RAD54B;1
87;FGFR3;MLH3;1
88;CNGA3;GNAT2;1
89;CNGA3;CNGB3;1
90;GNAT2;CNGA3;1
91;GNAT2;CNGB3;1
92;CNGB3;CNGA3;1
93;CNGB3;GNAT2;1
94;CNGB3;RPGR;1
95;CNGB3;FBLN5;1
96;CNGB3;CFH;1
97;CNGB3;HMCN1;1
98;KCNH2;KCNQ1;1
99;KCNH2;KCNE2;1
100;KCNH2;SCN5A;1
101;KCNH2;KCNE1;1
102;KCNH2;ANK2;1
103;KCNH2;KCNJ2;1
104;GNAS;SSTR5;1
105;GNAS;GNAI2;1
106;GNAS;THRA;1
107;SSTR5;GNAS;1
