Source,Target,Type,Id,Label,timeset,Weight
1285,3211,Directed,11778,,,1
468,2914,Directed,11779,,,1
416,3825,Directed,11780,,,1
126,2566,Directed,11781,,,1
126,1329,Directed,11782,,,1
288,3831,Directed,11783,,,1
407,2203,Directed,11784,,,1
473,3720,Directed,11785,,,1
282,1338,Directed,11786,,,1
282,1339,Directed,11787,,,1
282,2851,Directed,11788,,,1
686,2814,Directed,11789,,,1
575,3609,Directed,11790,,,1
575,1348,Directed,11791,,,1
199,3160,Directed,11792,,,1
199,3161,Directed,11793,,,1
199,3248,Directed,11794,,,1
199,3292,Directed,11795,,,1
112,3780,Directed,11796,,,1
113,3780,Directed,11797,,,1
113,2309,Directed,11798,,,1
113,1361,Directed,11799,,,1
62,3571,Directed,11800,,,1
923,3931,Directed,11801,,,1
542,1631,Directed,11802,,,1
466,2105,Directed,11803,,,1
466,3730,Directed,11804,,,1
77,3712,Directed,11805,,,1
856,1394,Directed,11806,,,1
856,3830,Directed,11807,,,1
856,1396,Directed,11808,,,1
643,3554,Directed,11809,,,1
545,1402,Directed,11810,,,1
545,2974,Directed,11811,,,1
664,1515,Directed,11812,,,1
157,2966,Directed,11813,,,1
30,1420,Directed,11814,,,1
30,1421,Directed,11815,,,1
30,3553,Directed,11816,,,1
30,3539,Directed,11817,,,1
30,1424,Directed,11818,,,1
30,3985,Directed,11819,,,1
30,3057,Directed,11820,,,1
30,3904,Directed,11821,,,1
30,1428,Directed,11822,,,1
30,3331,Directed,11823,,,1
30,1430,Directed,11824,,,1
30,1431,Directed,11825,,,1
1080,2120,Directed,11826,,,1
120,2565,Directed,11827,,,1
120,3539,Directed,11828,,,1
120,2105,Directed,11829,,,1
120,1442,Directed,11830,,,1
120,1443,Directed,11831,,,1
120,2120,Directed,11832,,,1
367,2819,Directed,11833,,,1
367,1446,Directed,11834,,,1
367,1447,Directed,11835,,,1
367,1448,Directed,11836,,,1
367,3636,Directed,11837,,,1
367,3619,Directed,11838,,,1
136,3631,Directed,11839,,,1
41,1455,Directed,11840,,,1
41,1456,Directed,11841,,,1
41,1457,Directed,11842,,,1
41,1458,Directed,11843,,,1
41,3505,Directed,11844,,,1
41,1460,Directed,11845,,,1
41,3627,Directed,11846,,,1
41,1462,Directed,11847,,,1
41,1463,Directed,11848,,,1
765,3488,Directed,11849,,,1
765,1465,Directed,11850,,,1
770,3895,Directed,11851,,,1
365,3985,Directed,11852,,,1
872,3958,Directed,11853,,,1
644,3554,Directed,11854,,,1
441,1660,Directed,11855,,,1
441,3511,Directed,11856,,,1
441,1477,Directed,11857,,,1
441,1763,Directed,11858,,,1
1002,3191,Directed,11859,,,1
453,3842,Directed,11860,,,1
480,3523,Directed,11861,,,1
121,2565,Directed,11862,,,1
121,2507,Directed,11863,,,1
121,1491,Directed,11864,,,1
121,1492,Directed,11865,,,1
637,2550,Directed,11866,,,1
134,1623,Directed,11867,,,1
